mode,lhs,desc,first_seen,last_used,use_count,source,tracked
n,<a-3>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/term.lua:32,y
n,<backspace>wo,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:25,y
t,<a-3>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/term.lua:32,y
n,<backspace><a-p>wo,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:26,y
t,<a-'>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/term.lua:34,y
i,<Plug>luasnip-next-choice,LuaSnip: Change to the next choice from the choiceNode,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
i,<Plug>luasnip-prev-choice,LuaSnip: Change to the previous choice from the choiceNode,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
n,<backspace><a-r>wo,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:27,y
i,<Plug>luasnip-jump-prev,LuaSnip: Jump to the previous node,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
n,<backspace><a-p>Rr,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:254,y
!,<Plug>luasnip-delete-check,LuaSnip: Removes current snippet from jumplist,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
n,<backspace>bk,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:29,y
!,<Plug>luasnip-expand-repeat,LuaSnip: Repeat last node expansion,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
n,Stk,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/Sbindings.lua:56,y
s,<Plug>luasnip-expand-snippet,LuaSnip: Expand the current snippet,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
n,<backspace><a-p>bk,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:30,y
s,<Plug>luasnip-prev-choice,LuaSnip: Change to the previous choice from the choiceNode,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
n,<backspace>Ro,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:257,y
s,<Plug>luasnip-jump-prev,LuaSnip: Jump to the previous node,2026-05-17T19:52:48Z,,0,.../kanon/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua:6,y
n,<backspace><a-r>u.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:127,y
n,<backspace><a-p>Ro,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:258,y
n,<leader><C-f>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:146,y
n,<backspace>bK,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:33,y
n,<backspace><a-r>Ro,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:259,y
n,X,Clean plugins that are no longer needed,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:149,y
n,<backspace><a-p>bK,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:34,y
n,<backspace>Rmn,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:261,y
n,<c-h>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:185,y
n,<backspace><a-r>bK,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:35,y
n,<backspace><a-p>Rmn,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:262,y
n,<c-s-h>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:186,y
n,<backspace><a-r>Rmn,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:263,y
n,<backspace>sc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:265,y
n,<backspace><a-p>sc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:266,y
n,<backspace><a-r>sc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:267,y
n,<backspace>vo,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:269,y
n,<backspace><a-p>vo,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:270,y
n,<backspace><a-r>vo,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:271,y
n,<backspace>an.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:273,y
n,<backspace><a-p>an.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:274,y
n,<leader>TH,builtin.highlights,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:98,y
n,<backspace><a-r>an.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:275,y
n,<leader>Tvo,builtin.vim_options,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:99,y
n,<leader>gtc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:186,y
n,<leader>gl0g,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:66,y
n,<backspace>P,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:277,y
n,<leader>Tvc,builtin.commands,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:100,y
n,<Plug>(comment_toggle_linewise_current),Comment toggle current line,2026-05-17T19:52:48Z,,0,...n/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua:103,n
n,ÑS,tmux run harpoon tests 1,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/harpoon.lua:130,y
n,<backspace><a-p>P,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:278,y
n,<leader>TvC,builtin.colorscheme,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:101,y
n,<leader>tlws,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:182,y
